run,sampled_lumi_MB,prescale_MB,livetime_MB,nevents_MB,sampled_lumi_HT2,prescale_HT2,livetime_HT2,nevents_HT2
15102048,0.0,600.73065186,0.035506821369374,0.0,0.0,1.0,0.0346720600982375,0.0
15102049,0.0,598.61999512,0.140290235076556,0.0,0.0,1.0,0.128013105546454,0.0
15102050,0.0026255,598.25201416,0.849042811171394,15753.0,1.48642487320514,1.0,0.803482387003378,39962.0
15102051,0.0,566.44006348,0.146121646871104,0.0,0.0,1.0,0.1372,0.0
15102053,0.0035031666666666,552.65863037,0.869793842084525,21019.0,1.82347797321913,1.0,0.81921726041144,48981.0
15102056,0.003076,507.31335449,0.844720462712273,18456.0,1.46366480614133,1.0,0.792304311343749,39658.0
15102057,0.003546,478.92401123,0.826514646571448,21276.0,1.60199423183162,1.0,0.779661626422625,43364.0
15102058,0.0030271666666666,447.88931274,0.87104826841236,18163.0,1.27512463302153,1.0,0.819196003805899,34439.0
15102059,0.0028216666666666,418.69070435,0.876754066743226,16930.0,1.11621388921361,1.0,0.828373475900821,30368.0
15102060,0.0033456666666666,397.85998535,0.84551779451848,20074.0,1.25596560898823,1.0,0.79778812572759,34264.0
15102068,0.004089,1006.18804932,0.902915185974411,24534.0,3.92618420868872,1.0,0.861631095743412,115622.0
15103001,0.003065,1105.95617676,0.909971400600981,18390.0,3.25832033579059,1.0,0.874687912026258,93540.0
15103010,0.0038828333333333,1096.25866699,0.864796634539475,23297.0,4.08991304988339,1.0,0.83093351608775,118816.0
15103011,0.003792,1123.19067383,0.903713142568126,22752.0,4.09746044307239,1.0,0.869407836416287,117690.0
15103012,0.0022795,1236.49462891,0.844221704764762,13677.0,2.71802736268359,1.0,0.814101410776086,76306.0
15103013,0.002982,1228.96130371,0.872147489791016,17892.0,3.53710672794253,1.0,0.841767689794515,97905.0
15103014,0.0029176666666666,1133.64929199,0.894955898509525,17506.0,3.19764500787749,1.0,0.865201946854025,88170.0
15103015,0.003028,969.74804688,0.906792056870406,18168.0,2.82821430953522,1.0,0.873384013109978,76746.0
15103016,0.0031093333333333,853.82000732,0.917488431338655,18656.0,2.53736381404973,1.0,0.876899311183144,69254.0
15103017,0.003245,778.08270264,0.927268264556496,19470.0,2.41957254277885,1.0,0.888594420748961,64376.0
15103018,0.0010566666666666,737.22265625,0.87619541633501,6340.0,0.7453444941513,1.0,0.838342230255139,19945.0
15103019,0.0031936666666666,722.37597656,0.882838176368842,19162.0,2.21486688605589,1.0,0.847570544095409,59413.0
15103020,0.0009201666666666,688.09338379,0.721534037278431,5521.0,0.174987017898318,1.0,0.199410845256703,16585.0
15103021,0.0030903333333333,668.76269531,0.874972489949145,18542.0,1.98050359210815,1.0,0.838479921278291,53592.0
15103022,0.0029666666666666,629.62530518,0.834408941115016,17800.0,1.78757589074279,1.0,0.79853234372644,47662.0
15103023,0.0031076666666666,586.54400635,0.857850824267365,18646.0,1.71919221609115,1.0,0.809098094318082,46066.0
15103024,0.0028063333333333,544.7800293,0.854414241498993,16838.0,1.4347648077239,1.0,0.801841926473919,38218.0
