run,sampled_lumi_VPDMB,prescale_VPDMB,lifetime_VPDMB,nevents_VPDMB,sampled_lumi_BHT2,prescale_BHT2,lifetime_BHT2,nevents_BHT2,BHT2_weight
13051023,2.39547928691918e-07,13187.40039062,0.859736169297373,5988.0,0.0289789728109006,1.0,0.915947702184295,58699.0,1433.2295731681795
13051024,1.34329997898821e-07,12646.79980469,0.858306491978999,3358.0,0.0156259333637199,1.0,0.914025209363478,32163.0,1406.114094500822
13051026,2.39132985674978e-07,12500.79980469,0.841864282558269,5978.0,0.0276692127115192,1.0,0.897172318826656,56246.0,1415.910653878012
13051028,1.38295715543631e-07,12045.59960938,0.831253553224253,3457.0,0.0154242020767714,1.0,0.88262676641729,32033.0,1380.3008901615892
13051069,2.31962454906449e-07,17405.80078125,0.834551104285392,5799.0,0.0337129150455208,1.0,0.889606241730164,78020.0,1379.069191779204
13051070,1.80264050174916e-07,15984.59960938,0.830160530924141,4507.0,0.0242781108503715,1.0,0.887928474811125,54102.0,1424.2686085308476
13051071,2.40326843772439e-07,15521.0,0.838149131423553,6008.0,0.0317370528474169,1.0,0.895649264550986,72556.0,1373.3871040848712
13051072,2.41116851943527e-07,14771.59960938,0.836364702466047,6028.0,0.0305624554701069,1.0,0.894823532370211,71220.0,1337.6438671272006
13051073,2.41209888133225e-07,14267.20019531,0.834966582213078,6030.0,0.0297028087603031,1.0,0.891785538612887,69158.0,1328.6328114993285
13051074,2.74985709541154e-07,13791.59960938,0.823354050754953,6875.0,0.0330604187158386,1.0,0.878902099388191,78857.0,1283.5150557737431
13051081,8.00852703391214e-08,12122.20019531,0.852544993717429,2002.0,0.0086648059668366,1.0,0.910963052695336,19774.0,1311.397797185197
13051083,2.3873752800378e-07,11816.40039062,0.843855113538697,5968.0,0.0252609509804406,1.0,0.901215350535832,60408.0,1246.752505333867
13051084,1.57178203273409e-07,11749.20019531,1.0,3678.0,0.014533055111875,1.0,1.0,36997.0,1168.0287136348943
13051085,2.41839161244036e-07,11665.20019531,0.854172328441256,6045.0,0.0254091937229406,1.0,0.910926458025938,58867.0,1277.4809021913325
13051086,2.44170334394149e-07,11244.79980469,0.84718160988204,6104.0,0.0249093847293344,1.0,0.905438979352023,54105.0,1355.849604458118
13051087,2.02972159627411e-07,11008.40039062,0.8587400852027,5074.0,0.0203514299231091,1.0,0.915511068030306,46461.0,1281.7047390098353
13051091,2.46976261801966e-07,10230.79980469,0.853847299450403,6174.0,0.0232035621851718,1.0,0.9111209751767,53561.0,1258.413505143285
13051092,2.47055306335014e-07,10042.59960938,0.854054601416164,6176.0,0.0228342270330272,1.0,0.91023293227678,53391.0,1238.0902045496687
13051093,2.48110098403853e-07,9916.20019531,0.858335144172791,6202.0,0.0227868217824904,1.0,0.91505306040336,54770.0,1197.0814195467428
13051099,2.3539706127361e-07,22720.59960938,0.799282469633896,5885.0,0.0441045022294513,1.0,0.862888116588722,121117.0,1191.83284798725
13051100,1.64534017464759e-08,20480.59960938,0.82422648155968,411.0,0.002771315642477,1.0,0.881497140014922,7480.0,1203.5308723444596
13052001,2.41066175948057e-07,20014.40039062,0.834887900241563,6027.0,0.0401013335437892,1.0,0.894344630461413,105518.0,1224.5991708281301
13052002,2.43464220833228e-07,18771.0,0.848287631457258,6087.0,0.0385352416956405,1.0,0.911606522422016,96102.0,1277.6814059070894
13052003,2.43147910027656e-07,17792.80078125,0.834442712000746,6079.0,0.0367579696886925,1.0,0.893889165147246,97150.0,1192.67139131278
13052004,2.39829782345788e-07,17157.59960938,0.83246292700869,5996.0,0.0353191593537591,1.0,0.892238977825651,96402.0,1143.795540494024
13052005,1.8854477821035e-07,16736.0,0.852727936985083,4713.0,0.0271382140577594,1.0,0.911942755308874,67357.0,1252.3434740131677
13052009,4.98481614418157e-08,15090.79980469,0.848192452077535,1246.0,0.0066056463604609,1.0,0.909837026615078,15778.0,1278.3434536928376
13052010,2.3949765987757e-07,14938.79980469,0.846142822768288,5987.0,0.0313882968860332,1.0,0.903096845549437,78656.0,1213.6228896914192
13052011,2.35856233908912e-07,14557.20019531,0.846256157523308,5897.0,0.0305198910761808,1.0,0.908320477427736,89831.0,1025.6991876062373
13052012,2.35378811145302e-07,14251.20019531,0.839742668791011,5884.0,0.0298657131050227,1.0,0.900144570462829,88716.0,1013.1837085604326
13052013,2.32769278925712e-07,13834.79980469,0.839936057623623,5819.0,0.0291029090335273,1.0,0.905372253921001,98870.0,877.6829415747446
13052014,2.31396806280768e-07,13102.20019531,0.831327074436407,5784.0,0.0275485603508456,1.0,0.892818678750686,88234.0,922.4182569842183
13052015,4.58041436778716e-08,12881.20019531,0.849114094109482,1145.0,0.0053997886138425,1.0,0.909682713347921,16938.0,932.8752701156862
13052016,1.84550558576601e-07,11972.20019531,0.852059359293085,4613.0,0.0203276915684233,1.0,0.912335681402185,66093.0,894.7192244894715
