run,sampled_lumi_VPDMB,prescale_VPDMB,lifetime_VPDMB,nevents_VPDMB,sampled_lumi_JP2,prescale_JP2,lifetime_JP2,nevents_JP2,JP2_weight
13061060,3.48555846281827e-07,18246.59960938,0.52823354315143,8714.0,0.05556011111011,1.0,0.53257118339479,171712.0,933.5778503178603
13061061,3.46901077773319e-07,15020.40039062,0.872900475770267,8671.0,0.0443643894014325,1.0,0.893362789963705,141632.0,941.1361103007966
13062001,2.60375977171516e-07,15335.40039062,0.852605591755761,6509.0,0.03423123200053,1.0,0.869903893978533,108839.0,935.7243828876649
13062002,1.24206519834144e-07,14861.59960938,0.828691573586614,3104.0,0.015939426598928,1.0,0.844682000878171,50414.0,932.688086450043
13062004,2.5808136329301e-07,14429.20019531,0.837720329494623,6452.0,0.0325558158852555,1.0,0.854272403763616,102839.0,923.1581222980506
13062005,2.57281397240041e-07,14206.59960938,0.835477471221655,6431.0,0.0321118495092925,1.0,0.851460608857665,99990.0,931.1977101231472
13062006,2.59067255415275e-07,13509.79980469,0.838312414827197,6477.0,0.0306501611545444,1.0,0.854154257143373,94929.0,939.1918527513145
13062007,2.58554409011552e-07,13184.59960938,0.867148734340543,6464.0,0.0301777746958627,1.0,0.841861048407324,94317.0,877.2535539134562
13062013,2.6238712270636e-07,24220.40039062,0.822301017803064,6560.0,0.0502569941256747,1.0,0.844770266814423,169077.0,965.4024933577772
13062014,1.19202460247736e-08,23163.59960938,0.885516667942333,298.0,0.0001227351388773,1.0,0.0507179605313676,7190.0,54.986802268384984
13062025,2.60946875011533e-07,30634.0,0.869699530577018,6524.0,0.0612273994406144,1.0,0.894214683110921,207129.0,992.0859816940251
13062026,3.04119036534265e-07,26687.19921875,0.872450162935531,7603.0,0.0627414419475096,1.0,0.895257115637578,205536.0,1012.9948588326228
13062027,2.46699944144045e-07,24583.19921875,0.791657488363045,6169.0,0.0475153341371702,1.0,0.810458843010523,151800.0,1022.7630754453994
13062028,2.686361975622e-07,23374.40039062,0.84206238576551,6715.0,0.0500618123493971,1.0,0.864447844243239,159284.0,1011.6001150410823
13062029,2.76429505500764e-07,22364.40039062,0.859415756144306,6910.0,0.0500148752697989,1.0,0.879486904916222,156501.0,1010.5184683785351
13062031,1.61669034778351e-07,21474.80078125,1.0,3948.0,0.0268692701,1.0,1.0,85058.0,996.76119217916
13062045,8.77771254500136e-08,19337.40039062,0.722769700182197,2195.0,0.0141609195389303,1.0,0.740925870321635,42162.0,1032.0155268404067
13062046,1.30618925316022e-07,19180.19921875,0.787798513436542,3265.0,3.35552437533968e-06,1.0,0.0001292467999943,63321.0,0.1622531648632117
13062049,2.4625435432129e-07,18409.59960938,0.835393283440652,6156.0,0.0382062206082199,1.0,0.852690471308474,116854.0,989.919323075401
13062050,2.46681311509264e-07,17831.59960938,0.885464207826153,6166.0,0.0373327933502754,1.0,0.902681833410443,113603.0,986.6604398503107
13062052,5.41393476542112e-08,17359.40039062,1.0,1324.0,0.0076797987,1.0,1.0,23922.0,960.7827989792193
13062059,2.96286951563551e-07,16667.19921875,0.844683031184217,7407.0,0.042678361976521,1.0,0.861359600187495,130796.0,962.5011060021114
13062060,5.56318759013524e-08,16174.79980469,0.867997428748986,1391.0,0.0077278850772439,1.0,0.878460676256305,23873.0,953.812330976109
13062061,1.69901773435407e-07,16137.79980469,0.825587334375922,4248.0,0.0237164399264946,1.0,0.839684261545918,73116.0,953.6069310414422
13062062,3.18914141128359e-07,15805.20019531,0.832066842513801,7973.0,0.044010485668702,1.0,0.849190667983889,134369.0,957.1272415363605
13062063,2.91625363950625e-07,15330.0,0.871472414711287,7291.0,0.0393025032107731,1.0,0.878999320508231,120678.0,934.1917847518067
13063006,5.3625849842376e-08,16273.79980469,0.727641161628929,1341.0,0.0072431000168049,1.0,0.754638979305757,32019.0,706.8576431969984
13063009,2.4801362829687e-07,23724.19921875,0.817041652199706,6200.0,0.0453791486865337,1.0,0.839857859799043,158201.0,955.7308860241044
13063010,2.47021327219001e-07,22571.40039062,0.818868002635723,6175.0,0.0435072432862677,1.0,0.839671445158472,146670.0,974.4277819258883
13063011,2.49786954778592e-07,21685.19921875,0.827324037781022,6243.0,0.0427498144472885,1.0,0.848418341435101,140878.0,985.4803738444123
13063012,5.34632932214116e-08,20949.40039062,0.65052061125511,1336.0,4.13057452595086e-07,1.0,3.09071468462882e-05,31920.0,0.04165940154388607
13063020,3.28864339970383e-08,19981.59960938,0.559747472696096,823.0,0.0050749109790443,1.0,0.548160084185603,17150.0,939.03381090569
13063022,2.47406782500167e-07,19695.40039062,0.83284516282951,6185.0,0.0395856289634359,1.0,0.852351255688522,126898.0,982.435570324374
13063023,2.47429868595755e-07,19060.80078125,0.845754611114378,6186.0,0.0387207447382026,1.0,0.866919991258187,123450.0,979.0268606658282
13063030,2.46098551228128e-07,18141.80078125,0.823672778822551,6152.0,0.0372620245852595,1.0,0.841978085770263,116473.0,979.5295303206346
13063031,2.44750839508943e-07,17582.59960938,0.883304979678684,6118.0,0.0362417697649097,1.0,0.903278294325104,113085.0,972.7437570985717
13063032,2.41159685916396e-07,17101.40039062,0.859930820005067,6029.0,0.0349362161440076,1.0,0.877558621454779,111116.0,946.9193313442868
13063034,3.30175553279569e-07,16604.80078125,1.0,8070.0,0.04486940924625,1.0,1.0,145947.0,918.1466032510946
13063035,3.24276976491303e-07,16054.20019531,1.0,7927.0,0.0430962181125,1.0,1.0,139155.0,914.5316010795327
13063036,3.8717357813558e-07,15479.79980469,0.851489252213879,9679.0,0.0524129901072308,1.0,0.869689732481147,166809.0,917.405887995613
13063051,2.55076693326171e-07,24978.40039062,1.0,6199.0,0.0453462875025,1.0,1.0,186510.0,830.2026916597148
13063053,3.45664027276794e-07,20826.80078125,1.0,8406.0,0.0521401036525,1.0,1.0,193287.0,905.7520028102641
13063054,3.38461997303793e-07,18329.19921875,1.0,8244.0,0.04557601245625,1.0,1.0,159224.0,949.014711094904
13063059,2.41219817333273e-07,29406.80078125,0.833886147410408,6030.0,0.0547274235427468,1.0,0.85698514211318,194837.0,935.3199348298032
13063061,3.38623064461875e-07,21863.59960938,0.851410681080638,8465.0,0.0578257801182079,1.0,0.87302819206134,187142.0,1014.066732641426
13063062,3.61464517954104e-07,19189.80078125,0.844068591016902,9037.0,0.0547323092599816,1.0,0.863409391947617,173202.0,1024.1908095922513
13063063,7.89709425148132e-08,17642.40039062,0.807715784819488,1974.0,0.0110830062554826,1.0,0.828484438430311,34660.0,1030.6282660188367
13063065,1.90751539386351e-07,17134.80078125,1.0,4649.0,0.0248936097075,1.0,1.0,81529.0,977.0718251423573
13063067,1.9091571085696e-07,16055.0,1.0,4655.0,0.02357853355,1.0,1.0,76089.0,982.2185204168803
13063068,3.47022173926658e-07,15633.79980469,0.857372755505,8674.0,0.0400343837673071,1.0,0.794870184015443,139177.0,903.3229019217629
13063071,1.04913264544433e-07,14646.0,1.0,2559.0,0.01201001292,1.0,1.0,39337.0,952.770012964893
13063072,2.28973055529387e-07,14423.40039062,0.849575228647773,5724.0,0.0272858271289056,1.0,0.869596825492988,86479.0,977.1758613718646
13063073,3.53273725263154e-07,13965.79980469,0.846189592679192,8832.0,0.041031664490983,1.0,0.863620264499703,129550.0,971.723263454566
13063074,2.85502097842718e-07,13526.40039062,0.825999560755576,7136.0,0.0317800888816441,1.0,0.82844330767402,101416.0,954.5827461676242
13063076,3.90340357411333e-07,13088.0,0.856158076913539,9759.0,0.0425874694507984,1.0,0.863169175941947,134042.0,960.6820367827363
13064001,2.83674135419133e-07,12527.59960938,0.841564493077188,7091.0,0.0300906930569956,1.0,0.856120126294148,93572.0,965.7767389423502
13064002,4.30333134275041e-07,12271.59960938,0.850422788092233,10757.0,0.0451578954927178,1.0,0.866083654923441,139415.0,964.290294983003
