run,sampled_lumi_MB,prescale_MB,livetime_MB,nevents_MB,sampled_lumi_JP2,prescale_JP2,livetime_JP2,nevents_JP2,JP2_weight
13050028,2.972252e-05,80.80103302,0.916622022737877,743063.0,0.0201136757631464,1.0,0.912788541353915,51984.0,1150.1454030115356
13050029,4.283572e-05,77.49938202,0.907571346615298,1070893.0,0.0281095228370441,1.0,0.904503958908104,73308.0,1128.2949491074498
13050031,1.356372e-05,72.32710266,0.912172645287312,339093.0,0.0082927523830716,1.0,0.906961149993714,21892.0,1113.8997161791704
13050032,4.955468e-05,69.19876862,0.914313418996948,1238867.0,0.0291319212288154,1.0,0.913295578787023,74614.0,1147.675180390151
13050036,5.088096e-05,64.34376526,0.901881557313023,1272024.0,0.0278934436072762,1.0,0.897829660876547,70734.0,1151.9085487418836
13050037,2.025784e-05,62.17920303,0.915008233845733,506446.0,0.0107547464893026,1.0,0.909124529316837,27307.0,1145.783806072325
13050038,5.173548e-05,60.4811554,0.915567636174716,1293387.0,0.026763377455643,1.0,0.90932944606414,68832.0,1128.7272341780738
13050041,4.193976e-05,51.70600128,0.913921697713573,1048494.0,0.0188517816861971,1.0,0.912666022267569,51222.0,1056.9471319416884
13051006,2.388024e-05,315.64016724,0.890476979509623,597006.0,0.0600661378480814,1.0,0.888880228529562,228927.0,821.6644424303136
13051007,3.567076e-05,197.040802,0.904725782748802,891769.0,0.055529373161951,1.0,0.904016632192157,171896.0,1021.4149747063016
13051008,3.508584e-05,152.04997253,0.888180881712192,877146.0,0.04239027350365,1.0,0.888511672435378,121128.0,1101.4769254985267
13051009,3.803172e-05,135.04370117,0.907072343762548,950793.0,0.0409543340952266,1.0,0.905296421870371,110420.0,1160.5435527773618
13051010,3.978008e-05,124.55026245,0.916806200211298,994502.0,0.039848511807229,1.0,0.91500563136803,105207.0,1175.037958505087
13051011,4.173956e-05,113.45101166,0.858023262062944,1043489.0,0.0382538558805615,1.0,0.852760839822306,101318.0,1161.2823523508744
13051012,1.182844e-05,100.73802185,0.912383020198578,295711.0,0.0097369648818065,1.0,0.90868015108193,26138.0,1135.0693380621396
13051015,4.45118e-05,92.792099,0.9128742111594,1112795.0,0.0341820444075797,1.0,0.911723820667447,91508.0,1126.9884477476096
13051016,4.508196e-05,88.91152954,0.901725558127044,1127049.0,0.0333571627601281,1.0,0.898060919282967,88561.0,1126.911435690454
13051017,4.598488e-05,83.77264404,0.914769798887951,1149622.0,0.0322930601559373,1.0,0.913732713006633,86081.0,1117.525241189355
13051019,4.140684e-05,80.31111145,0.917109653595384,1035171.0,0.0279975682825577,1.0,0.913924618606042,73631.0,1125.1648221535722
13051020,4.708788e-05,77.59233856,0.914503491406644,1177197.0,0.0311232086372697,1.0,0.91439881817972,79481.0,1149.0924034113666
13051021,4.331976e-05,72.12121582,0.916602848110942,1082994.0,0.0267069654380466,1.0,0.915419407894737,67052.0,1163.365731711304
13051022,4.922776e-05,67.19866943,0.913094240625758,1230694.0,0.028315987879127,1.0,0.910522844543303,70669.0,1166.9629136995345
13051023,4.887904e-05,68.85703278,0.915976975897077,1221976.0,0.0288897461748002,1.0,0.913127487235921,71633.0,1170.9671167046206
13051024,2.79894e-05,64.72924042,0.915340851027961,699735.0,0.0155800545746947,1.0,0.911341570007796,38825.0,1161.504720951114
13051026,5.006068e-05,63.64228439,0.897237263910132,1251517.0,0.0276331548474985,1.0,0.896003145066177,68657.0,1158.510360707798
13051028,2.94368e-05,60.32624054,0.886121398678356,735920.0,0.0154223042179893,1.0,0.882518164302793,38237.0,1156.33450418238
13051069,3.99478e-05,107.85122681,0.890551804135944,998695.0,0.0337604103447631,1.0,0.890859533372307,117380.0,917.9391736417692
13051070,3.303548e-05,93.18370056,0.886894107354625,825887.0,0.0242872641739117,1.0,0.888263241245821,71029.0,1085.1625661193798
13051071,4.489316e-05,88.76751709,0.895433969913566,1122329.0,0.0316188435854419,1.0,0.892313288804907,88676.0,1119.571816504551
13051072,4.644024e-05,81.97206116,0.893924652770257,1161006.0,0.0304649732465838,1.0,0.891969396920213,82501.0,1151.0392855548653
13051073,4.73756e-05,77.62109375,0.89221539551896,1184390.0,0.0297308108947582,1.0,0.892626263769855,79157.0,1161.9437698061024
13051074,5.499136e-05,73.67195129,0.879545871236653,1374784.0,2.38138390777894e-05,1.0,0.0006330843338633,86869.0,0.8392181970138045
13051081,1.702472e-05,60.8766861,0.910152552779886,425618.0,0.0084006962294284,1.0,0.883196220575059,21908.0,1147.6547745258945
13051083,5.102832e-05,59.08200073,0.90183785171764,1275708.0,0.0252299270071475,1.0,0.900108532309234,64918.0,1158.7980618001773
13051084,3.143564e-05,58.7460022,1.0,785891.0,0.014533055111875,1.0,1.0,39857.0,1158.3399256080538
13051085,5.161592e-05,58.32600021,0.911533305127319,1290398.0,0.025384473411767,1.0,0.910040228193376,65120.0,1153.877045409046
13051086,5.208376e-05,56.22399902,0.903557832942452,1302094.0,0.0248643208290406,1.0,0.903800937612694,62858.0,1164.9850272098631
